Order_ID,Order_Date,Product,Category,Quantity,Price,City,Sales
2001,2026-01-02,Laptop,Electronics,2,55000,Delhi,110000
2002,2026-01-03,Mouse,Electronics,5,600,Mumbai,3000
2003,2026-01-05,Keyboard,Electronics,3,1400,Lucknow,4200
2004,2026-01-07,Chair,Furniture,4,3500,Gorakhpur,14000
2005,2026-01-09,Desk,Furniture,2,7500,Kanpur,15000
2006,2026-01-11,T-Shirt,Clothing,5,800,Varanasi,4000
2007,2026-01-13,Jeans,Clothing,3,1800,Noida,5400
2008,2026-01-15,Rice,Grocery,10,700,Prayagraj,7000
2009,2026-01-17,Headphones,Electronics,2,2500,Agra,5000
2010,2026-01-19,Football,Sports,4,1200,Jaipur,4800
2011,2026-01-21,Laptop,Electronics,1,60000,Kolkata,60000
2012,2026-01-23,Mouse,Electronics,8,550,Patna,4400
2013,2026-01-25,Keyboard,electronics,4,1300,Ranchi,5200
2014,2026-01-27,Chair,Furniture,3,4200,Bhopal,12600
2015,2026-01-29,Desk,Furniture,2,8000,Indore,16000
2016,2026-02-01,T-Shirt,Clothing,6,750,Pune,4500
2017,2026-02-03,Jeans,Clothing,4,2000,Nagpur,8000
2018,2026-02-05,Rice,Grocery,15,680,Hyderabad,10200
2019,2026-02-07,Headphones,Electronics,3,3000,Bengaluru,9000
2020,2026-02-09,Football,Sports,5,1100,Chennai,5500
2021,2026-02-11,Laptop,Electronics,2,58000,Delhi,116000
2022,2026-02-13,Mouse,Electronics,10,500,Mumbai,5000
2023,2026-02-15,Keyboard,Electronics,2,1500,Lucknow,3000
2024,2026-02-17,Chair,Furniture,5,3800,Gorakhpur,19000
2025,2026-02-19,Desk,Furniture,3,7000,Kanpur,21000
2026,2026-02-21,T-Shirt,Clothing,8,850,Varanasi,6800
2027,2026-02-23,Jeans,Clothing,2,2200,Noida,4400
2028,2026-02-25,Rice,Grocery,20,650,Prayagraj,13000
2029,2026-02-27,Headphones,Electronics,4,2800,Agra,11200
2030,2026-03-01,Football,Sports,6,1250,Jaipur,7500
2031,2026-03-03,Laptop,Electronics,1,62000,Kolkata,62000
2032,2026-03-05,Mouse,Electronics,7,580,Patna,4060
2033,2026-03-07,Keyboard,Electronics,5,1350,Ranchi,6750
2034,2026-03-09,Chair,Furniture,2,4500,Bhopal,9000
2035,2026-03-11,Desk,Furniture,4,7200,Indore,28800
2036,2026-03-13,T-Shirt,Clothing,5,900,Pune,4500
2037,2026-03-15,Jeans,Clothing,3,1900,Nagpur,5700
2038,2026-03-17,Rice,Grocery,12,720,Hyderabad,8640
2039,2026-03-19,Headphones,Electronics,2,3200,Bengaluru,6400
2040,2026-03-21,Football,Sports,3,1300,Chennai,3900
2041,2026-03-23,Laptop,Electronics,2,57000,Delhi,114000
2042,2026-03-25,Mouse,Electronics,6,620,Mumbai,3720
2043,2026-03-27,Keyboard,Electronics,4,1450,Lucknow,5800
2044,2026-03-29,Chair,Furniture,3,4000,Gorakhpur,12000
2045,2026-03-31,Desk,Furniture,2,8500,Kanpur,17000
2046,2026-04-02,T-Shirt,Clothing,7,780,Varanasi,5460
2047,2026-04-04,Jeans,Clothing,5,2100,Noida,10500
2048,2026-04-06,Rice,Grocery,18,690,Prayagraj,12420
2049,2026-04-08,Headphones,Electronics,3,2700,Agra,8100
2050,2026-04-10,Football,Sports,7,1150,Jaipur,8050
2051,2026-04-12,Laptop,Electronics,3,54000,Kolkata,162000
2052,2026-04-14,Mouse,Electronics,9,530,Patna,4770
2053,2026-04-16,Keyboard,Electronics,3,1600,Ranchi,4800
2054,2026-04-18,Chair,Furniture,4,3600,Bhopal,14400
2055,2026-04-20,Desk,Furniture,5,6800,Indore,34000
2056,2026-04-22,T-Shirt,Clothing,4,950,Pune,3800
2057,2026-04-24,Jeans,Clothing,6,1950,Nagpur,11700
2058,2026-04-26,Rice,Grocery,25,640,Hyderabad,16000
2059,2026-04-28,Headphones,Electronics,5,2900,Bengaluru,14500
2060,2026-04-30,Football,Sports,4,1400,Chennai,5600
2061,2026-05-02,Laptop,Electronics,1,65000,Delhi,65000
2062,2026-05-04,Mouse,Electronics,12,490,Mumbai,5880
2063,2026-05-06,Keyboard,Electronics,6,1250,Lucknow,7500
2064,2026-05-08,Chair,Furniture,5,4100,Gorakhpur,20500
2065,2026-05-10,Desk,Furniture,3,7900,Kanpur,23700
2066,2026-05-12,T-Shirt,Clothing,9,820,Varanasi,7380
